entity_key,name,entity_type,aliases,category,description,source_key,confidence
TC-BUILDING-057,观德殿,Building,,殿宇,觀德殿、〈《通鑒》：侯君集獻膚俘於觀德殿。胡注：觀德殿，射殿也。《閣本太極圓》，射殷在宜春門北。〉,TC-REF-001,0.90
TC-BUILDING-058,新殿,Building,,殿宇,新殿、〈《長安志》：近萬春殿有新殿。〉,TC-REF-001,0.90
TC-BUILDING-059,相思殿,Building,想恩殿,殿宇,想恩殿、《通鑒》：貞觀間，薛眨陀突利設來納幣，上御相思殿。胡身之：據褚遂良疏，殿在玄武門內。,TC-REF-001,0.90
TC-BUILDING-060,飞霜殿,Building,,殿宇,飛霜殿、〈貞觀二十五年，宴五品以上於飛霜殿，殿在玄武門北。〉,TC-REF-001,0.90
TC-BUILDING-061,昭德殿,Building,,殿宇,昭德殿、〈《太平廣記》引《大唐雜語》：昭宗文德二年正朔，御武德殿，有紫氣出於昭德殿東隅，得金龍子一枚，改元為龍紀元年。〉,TC-REF-001,0.90
TC-BUILDING-062,临湖殿,Building,,殿宇,臨湖殿、〈《舊書》：高祖召裴寂等，欲令窮覈其事，建成、元吉行至臨湖殿覺變。〉,TC-REF-001,0.90
TC-BUILDING-063,长乐殿,Building,,殿宇,長樂殿、嘉壽殿、臨照殿、望仙殿、翔鳳殿、乘龍殿、文思殿；〈見《六典》、《禁扁》。〉,TC-REF-001,0.90
TC-BUILDING-064,嘉寿殿,Building,,殿宇,長樂殿、嘉壽殿、臨照殿、望仙殿、翔鳳殿、乘龍殿、文思殿；〈見《六典》、《禁扁》。〉,TC-REF-001,0.90
TC-BUILDING-065,临照殿,Building,,殿宇,長樂殿、嘉壽殿、臨照殿、望仙殿、翔鳳殿、乘龍殿、文思殿；〈見《六典》、《禁扁》。〉,TC-REF-001,0.90
TC-BUILDING-066,望仙殿,Building,,殿宇,長樂殿、嘉壽殿、臨照殿、望仙殿、翔鳳殿、乘龍殿、文思殿；〈見《六典》、《禁扁》。〉,TC-REF-001,0.90
TC-BUILDING-067,翔凤殿,Building,,殿宇,長樂殿、嘉壽殿、臨照殿、望仙殿、翔鳳殿、乘龍殿、文思殿；〈見《六典》、《禁扁》。〉,TC-REF-001,0.90
TC-BUILDING-068,乘龙殿,Building,,殿宇,長樂殿、嘉壽殿、臨照殿、望仙殿、翔鳳殿、乘龍殿、文思殿；〈見《六典》、《禁扁》。〉,TC-REF-001,0.90
TC-BUILDING-069,文思殿,Building,,殿宇,長樂殿、嘉壽殿、臨照殿、望仙殿、翔鳳殿、乘龍殿、文思殿；〈見《六典》、《禁扁》。〉,TC-REF-001,0.90
TC-BUILDING-070,嘉德殿,Building,顯德殿、明德殿,殿宇,宮之正殿曰嘉德殿，〈一曰顯德，武德九年，太宗即位於顯德殿。後避中宗諱，改明德。〉,TC-REF-001,0.90
TC-BUILDING-071,左春坊,Building,,官署,次東，左春坊。坊東有南北街，街東即皇城東面廷喜門之內。,TC-REF-001,0.90
TC-BUILDING-072,右春坊,Building,,官署,其內為左右春坊。,TC-REF-001,0.90
TC-BUILDING-073,崇教殿,Building,弘教殿,殿宇,嘉德殿之北為崇敖般、〈或作「崇政」，誤。《唐會要》：貞觀十七年十一月二十八日，誕皇太孫，太子宴宮寮於弘教殿。太宗幸東宮，自殿北門入。《禁扁》：崇教，一曰弘教，又有弘教門。〉,TC-REF-001,0.90
TC-BUILDING-074,丽正殿,Building,麗政殿,殿宇,麗正殿。〈「正」一作「政」〉,TC-REF-001,0.90
TC-BUILDING-075,崇仁殿,Building,,殿宇,麗正殿之左為崇仁殿，麗正殿之右為崇文殿，,TC-REF-001,0.90
TC-BUILDING-076,崇文殿,Building,,殿宇,麗正殿之右為崇文殿，〈按東宮右春坊內有崇文館，當在此殿之側。〉,TC-REF-001,0.90
TC-BUILDING-077,光天殿,Building,,殿宇,麗正殿之北為光天殿，〈《長安志》作「光大」，今從《大典》圖。〉,TC-REF-001,0.90
TC-BUILDING-078,承恩殿,Building,,殿宇,又北為承恩殿，其北為玄德門。〈諸殿方位皆依《大典》圖。〉,TC-REF-001,0.90
TC-BUILDING-079,宜春宫,Building,,殿宇,承恩殿之左右為宜春、宜秋宮，〈前有宜春宮門、宜欽宮門。宜秋，《禁扁》作「融秋」。〉,TC-REF-001,0.90
TC-BUILDING-080,宜秋宫,Building,融秋宮,殿宇,承恩殿之左右為宜春、宜秋宮，〈前有宜春宮門、宜欽宮門。宜秋，《禁扁》作「融秋」。〉,TC-REF-001,0.90
TC-BUILDING-081,化苑,Building,宜春北苑,其他,宜春之北為化苑。〈《通鑒》注：天寶中，即東宮置宜春北苑。〉,TC-REF-001,0.90
TC-BUILDING-082,典膳厨,Building,,其他,其南，道東為典膳廚，道西為命婦院。,TC-REF-001,0.90
TC-BUILDING-083,命妇院,Building,,其他,其南，道東為典膳廚，道西為命婦院。,TC-REF-001,0.90
TC-BUILDING-084,内坊,Building,,其他,宜秋之南為內坊。,TC-REF-001,0.90
TC-BUILDING-085,八风殿,Building,,殿宇,又有八風殿、射殿、〈《大典》圖在宜春門內之東。〉,TC-REF-001,0.90
TC-BUILDING-086,射殿,Building,,殿宇,射殿、〈《大典》圖在宜春門內之東。〉,TC-REF-001,0.90
TC-BUILDING-087,亭子院,Building,,其他,亭子院、山池院、佛堂院、〈皆見《長安志》。〉,TC-REF-001,0.90
TC-BUILDING-088,鹰鹞院,Building,,其他,鷹鷂院、〈見《大典》圖。按皆在北苑中。〉,TC-REF-001,0.90
TC-BUILDING-089,长生院,Building,長生殿,其他,長生院，〈《舊書陳夷行傳：》充皇太子侍讀，認五日一度入長生院，侍太子講經。〉,TC-REF-001,0.90
TC-BUILDING-090,崇文馆,Building,,官署,按東宮右春坊內有崇文館，當在此殿之側。,TC-REF-001,0.90
TC-BUILDING-091,佛堂院,Building,,其他,亭子院、山池院、佛堂院、〈皆見《長安志》。〉,TC-REF-001,0.90
TC-BUILDING-092,聚艺台,Building,眾藝台,台,聚藝台。〈《長安圖志》《雜說》：掖庭東北垣上有一方台，考之於志，恐所謂宮人教芸之所名眾藝台者也。〉,TC-REF-001,0.90
TC-BUILDING-093,内侍省,Building,長秋監、司宮台,官署,內侍省在宮西南。〈內侍省，隋之長秋監，唐貞觀三年改內侍省。光宅元年為司宮台，神龍元年復舊。省內有紫蘭亭。〉,TC-REF-001,0.90
TC-BUILDING-094,紫兰亭,Building,,亭,省內有紫蘭亭。,TC-REF-001,0.90
TC-BUILDING-095,皇城,Building,子城,宫殿区,傅宮城之南面曰皇城，亦曰子城，東西五里一百一十五步，南北三里一百四十步，周十七里一百五十步。,TC-REF-001,0.90
TC-BUILDING-096,门下外省,Building,,官署,從西第一，門下外省。,TC-REF-001,0.90
TC-BUILDING-097,殿中省,Building,,官署,次東，殿中省。,TC-REF-001,0.90
TC-BUILDING-098,左千牛卫,Building,,官署,次東，左千牛衛。,TC-REF-001,0.90
TC-BUILDING-099,左卫,Building,,官署,次東，左衛。隋人監門衛、左翊衛二府之地，武德初並為此衛。門額本睿宗所題，開元初進入內。,TC-REF-001,0.90
TC-BUILDING-100,东宫内坊,Building,內作坊,官署,街東第一，東宮內坊。《長安志》作「內作坊」、誤。,TC-REF-001,0.90
TC-BUILDING-101,右清道率府,Building,,官署,次東、右清道率府。,TC-REF-001,0.90
TC-BUILDING-102,右监门率府,Building,,官署,次東，右監門率府。,TC-REF-001,0.90
TC-BUILDING-103,右内率府,Building,,官署,府北，右內率府。,TC-REF-001,0.90
TC-BUILDING-104,东宫朝堂,Building,,官署,府東，東宮朝堂。,TC-REF-001,0.90
TC-BUILDING-105,左监门率府,Building,,官署,街東第一，左監門率府。,TC-REF-001,0.90
TC-BUILDING-106,左内率府,Building,,官署,府北，左內率府。,TC-REF-001,0.90
TC-BUILDING-107,左清道率府,Building,,官署,次東，左清道率府。,TC-REF-001,0.90
TC-BUILDING-108,家令寺,Building,,官署,次東，家令寺。,TC-REF-001,0.90
TC-BUILDING-109,左监门卫,Building,,官署,從西第一，左監門衛。武德中分取左武衛地，自北街移於此。,TC-REF-001,0.90
TC-BUILDING-110,左武卫,Building,,官署,次東，左武衛。次東，貞觀中有左金吾內府，後廢。,TC-REF-001,0.90
TC-BUILDING-111,左金吾内府,Building,,官署,貞觀中有左金吾內府，後廢。,TC-REF-001,0.90
TC-BUILDING-112,左骁卫,Building,,官署,次東，左驍衛。,TC-REF-001,0.90
TC-BUILDING-113,东宫仆寺,Building,,官署,衛東，安上門街，街東第一，東宮僕寺。,TC-REF-001,0.90
TC-BUILDING-114,率更寺,Building,,官署,次東，率更寺。,TC-REF-001,0.90
TC-BUILDING-115,右司御率府,Building,司禦衛,官署,次東，右司禦率府。《長安志》作「司禦衛」誤。,TC-REF-001,0.90
TC-BUILDING-116,右卫率府,Building,,官署,次東，右衛率府。,TC-REF-001,0.90
TC-BUILDING-117,左卫率府,Building,,官署,街東第一，左衛率府。,TC-REF-001,0.90
TC-BUILDING-118,左司御率府,Building,司禦衛,官署,次東，左司禦率府。《長安志》作「司禦衛」，誤。,TC-REF-001,0.90
TC-BUILDING-119,詹事府,Building,,官署,次東，詹事府。府東有南北街，街東即皇城之東面。,TC-REF-001,0.90
TC-BUILDING-120,尚书省,Building,,官署,從西第一，尚書省。省門額本睿宗書，開元初進入內。後右庶子魏華所題。,TC-REF-001,0.90
TC-BUILDING-121,都堂,Building,尚書令廳事,其他,省內當中有都堂，本尚書令廳事。,TC-REF-001,0.90
TC-BUILDING-122,都水监,Building,,官署,省東、安上門街，街東第一、都水監。,TC-REF-001,0.90
TC-BUILDING-123,光禄寺,Building,,官署,次東、光祿寺。,TC-REF-001,0.90
TC-BUILDING-124,军器监,Building,軍器使、甲弩坊,官署,街東，軍器監。本少府監甲弩坊，後為軍器使；開元四年置監。監東即皇城東面景風門之北。,TC-REF-001,0.90
TC-BUILDING-125,左领军卫,Building,,官署,從西第一、左領軍衛。街北有兵部選院。,TC-REF-001,0.90
TC-BUILDING-126,兵部选院,Building,,官署,街北有兵部選院。,TC-REF-001,0.90
TC-BUILDING-127,左威卫,Building,,官署,次東，左威衛。衛北有刑部格式院。,TC-REF-001,0.90
TC-BUILDING-128,刑部格式院,Building,,官署,衛北有刑部格式院。,TC-REF-001,0.90
TC-BUILDING-129,吏部选院,Building,吏部南院,官署,次東，吏部選院。以在尚書省之南，亦曰吏部南院，選人看榜名之所也。,TC-REF-001,0.90
TC-BUILDING-130,礼部南院,Building,,官署,次東，禮部南院。四方貢舉人都會所也。,TC-REF-001,0.90
TC-BUILDING-131,太仆寺,Building,,官署,從西第一，太僕寺。寺西北隅，乘黃署，別開北門。署內貯掌指南車、記里鼓及輦輅之屬。,TC-REF-001,0.90
TC-BUILDING-132,乘黄署,Building,,官署,寺西北隅，乘黃署，別開北門。署內貯掌指南車、記里鼓及輦輅之屬。,TC-REF-001,0.90
TC-BUILDING-133,大府寺,Building,,官署,次東，大府寺。舊都水監之地。,TC-REF-001,0.90
TC-BUILDING-134,少府监,Building,,官署,寺東，安上門街、街東第一，少府監。僖宗再幸山南，太廟焚毀，權以少府監大廳為太廟。,TC-REF-001,0.90
TC-BUILDING-135,左藏外库院,Building,,官署,次東，左藏外庫院。隋大府寺置於此，又分置坊院。東有南北街，街東即皇城東面景風門南也。,TC-REF-001,0.90
TC-BUILDING-136,太常寺,Building,,官署,從西第一，太常寺。《廣記》引《國史異纂》：崔日知曆職中外，恨不居八座。及為太常卿，於都寺廳事後起一樓，正與尚書省相望，時人謂之「崔公望省樓」。,TC-REF-001,0.90
TC-BUILDING-137,太庙,Building,,寺廟,寺東，安上門街，街東第一，太廟，其地本隋大府寺玉作坊，坊中有御井。貞觀中，廢玉作坊，於此置大府寺賜坊，以曝四方貢賦之物濕者。先天中，置廟廢坊焉。,TC-REF-001,0.90
TC-BUILDING-138,中宗庙,Building,,寺廟,中宗廟、元獻皇后廟。韋公肅《禮合斬儀》曰：乾元元年，立廟於太廟之西。,TC-REF-001,0.90
TC-BUILDING-139,元献皇后庙,Building,,寺廟,中宗廟、元獻皇后廟。韋公肅《禮合斬儀》曰：乾元元年，立廟於太廟之西。寶應二年，遷神主於太廟。貞元三年修葺，奉安昭德皇后神主。永貞元年，拊於太廟。,TC-REF-001,0.90
TC-BUILDING-140,太庙署,Building,,官署,次東，太廟署。署東、署南並有街，即皇城東南隅也。,TC-REF-001,0.90
TC-BUILDING-141,中书外省,Building,,官署,從東第一，中書外省。,TC-REF-001,0.90
TC-BUILDING-142,四方馆,Building,謁者台,官署,次西，四方館。隋曰謁者台，即諸方通表，通事舍人受事之司。,TC-REF-001,0.90
TC-BUILDING-143,右千牛卫,Building,,官署,次西，右千牛衛。,TC-REF-001,0.90
TC-BUILDING-144,右监门卫,Building,,官署,次西，右監門衛。,TC-REF-001,0.90
TC-BUILDING-145,右卫,Building,,官署,次西，右衛。衛西，含光門街，橫街抵比而絕。,TC-REF-001,0.90
TC-BUILDING-146,右武卫,Building,,官署,從東第一，右武衛。街西，貞觀中有右金吾內府，後廢。,TC-REF-001,0.90
TC-BUILDING-147,右金吾内府,Building,,官署,街西，貞觀中有右金吾內府，後廢。,TC-REF-001,0.90
TC-BUILDING-148,右骁卫,Building,,官署,次西，右驍衛。,TC-REF-001,0.90
TC-BUILDING-149,将作监,Building,,官署,次西，含光門街，街西，將作監。即皇城西南面安福門之南。,TC-REF-001,0.90
TC-BUILDING-150,司农寺,Building,,官署,從東第一，司農寺。,TC-REF-001,0.90
TC-BUILDING-151,尚舍局,Building,帳幕坊,官署,含光門街，街西第一，尚舍局。本帳幕坊，局內有山池。,TC-REF-001,0.90
TC-BUILDING-152,尚辇局,Building,,官署,次西，尚輦局。,TC-REF-001,0.90
TC-BUILDING-153,卫尉寺,Building,,官署,次西，衛尉寺。,TC-REF-001,0.90
TC-BUILDING-154,大理寺,Building,,官署,次西，大理寺。寺西有南北街。街西即皇城西面順義門之北。,TC-REF-001,0.90
TC-BUILDING-155,右领军卫,Building,,官署,從東第一、右領軍衛。,TC-REF-001,0.90
TC-BUILDING-156,右威卫,Building,,官署,次西，右威衛。衛門本南向、開元七年御史小丞李尚隱以此衛南門與御史臺門相對不便，遂政事，移門北向。,TC-REF-001,0.90
TC-BUILDING-157,秘书省,Building,,官署,次西，秘書省。監院廳事前有隕星石，隋自咸陽移置於此，少監王劭作《瑞石頌》以讚美之。監院東有書閣重複，以貯古今圖籍。,TC-REF-001,0.90
TC-BUILDING-158,校书院,Building,,官署,秘書省之東即右威衛，荒穢摧毀，其大廳逼校書院，南對御史臺。,TC-REF-001,0.90
TC-BUILDING-159,陨星石,Building,落星石,其他,監院廳事前有隕星石，隋自咸陽移置於此，少監王劭作《瑞石頌》以讚美之。,TC-REF-001,0.90
TC-BUILDING-160,宗正寺,Building,,官署,從東第一、宗正寺。,TC-REF-001,0.90
TC-BUILDING-161,御史台,Building,御史北台、御史臺中書南院,官署,次西，御史臺。《御史臺記》曰：御史臺門北開，蓋取肅殺就陰之義，故京壹門北開矣。,TC-REF-001,0.90
TC-BUILDING-162,台院,Building,,官署,《唐語林》：御史臺三院，一曰台院，其僚曰侍御史。,TC-REF-001,0.90
TC-BUILDING-163,殿院,Building,,官署,二曰殿院，共僚曰殿中侍御史。,TC-REF-001,0.90
TC-BUILDING-164,察院,Building,察院南院,官署,三曰察院，其僚曰監察御史。察院南院，會昌初監察御史鄭路所葺。,TC-REF-001,0.90
TC-BUILDING-165,松厅,Building,禮祭廳,其他,禮祭廳謂之松廳，南有古松也。,TC-REF-001,0.90
TC-BUILDING-166,魇厅,Building,刑察廳,其他,刑察廳謂之魘廳，寢於此多魘。,TC-REF-001,0.90
TC-BUILDING-167,茶瓶厅,Building,,其他,兵察常主院中茶，茶必市蜀之佳者，貯於陶器，以防暑濕，御史躬親緘啟，故謂之茶瓶廳。,TC-REF-001,0.90
TC-BUILDING-168,朝簿厅,Building,,其他,吏察主院中入朝人次第名籍，謂之朝簿廳。,TC-REF-001,0.90
TC-BUILDING-169,司天监,Building,太史局、渾儀監、太史監、司天台,官署,次西，司天監。本隸秘書省，為太史局，後別為渾儀監，尋復舊名，而不屬秘書。,TC-REF-001,0.90
TC-BUILDING-170,灵台,Building,,其他,監內有靈台，以候雲物，崇七丈，周八十步。,TC-REF-001,0.90
TC-BUILDING-171,废石台,Building,石台、頌台,其他,監西含光門街，街西第一，廢石台。本司農導草坊之地。景龍中，韋庶入置石台，雕刻彩樓，十建頌台，蛟龍蟠繞，下有石馬、石獅子、侍衛之像。,TC-REF-001,0.90
TC-BUILDING-172,司农寺草坊,Building,,官署,臺北，司農寺草坊。坊門北開。,TC-REF-001,0.90
TC-BUILDING-173,骅骝马坊,Building,,官署,次西，驊騮馬坊。垓門北開。,TC-REF-001,0.90
TC-BUILDING-174,御史台推事院,Building,,官署,後為御史臺推事院。,TC-REF-001,0.90
TC-BUILDING-175,鸿胪寺,Building,,官署,從東第一，鴻臚寺。德宗建中元年，以鴻臚寺左右遠營隸金吾。《通鑒》：回紇犯含光門，突入鴻臚寺。蓋入門而東即寺也。,TC-REF-001,0.90
TC-BUILDING-176,鸿胪客馆,Building,鴻腱客館,官署,次西，鴻腱客館。如漢之葉街，四夷慕化及朝獻者居焉。,TC-REF-001,0.90
TC-BUILDING-177,大社,Building,,寺廟,館西，含光門街，街西第一，大社。南門額，隋乎陳所得，即東晉王右軍所願。隋代重以粉墨模之。,TC-REF-001,0.90
TC-BUILDING-178,郊社署,Building,,官署,次西，郊社署。署西、署南並有街，即皇城之西南隅。,TC-REF-001,0.90
TC-BUILDING-179,左宗庙,Building,,寺廟,左宗廟，在安上門內之東。,TC-REF-001,0.90
TC-BUILDING-180,右社稷,Building,,寺廟,右社稷。在含光門內之西。,TC-REF-001,0.90
TC-BUILDING-181,大明宫,Building,東內、蓬萊宮、永安宮,宫殿区,大明宮在禁苑東偏，舊太極宮後苑之射殿，據龍首山,TC-REF-001,0.90
TC-BUILDING-182,百官待漏院,Building,,其他,門外有百官待漏院,TC-REF-001,0.90
TC-BUILDING-183,含元殿,Building,大明殿,殿宇,丹鳳門內正牙曰含元殿，大朝會御之,TC-REF-001,0.90
TC-BUILDING-184,宣政殿,Building,,殿宇,含元殿後曰宣政殿，天子常朝所也,TC-REF-001,0.90
TC-BUILDING-185,紫宸殿,Building,,殿宇,宣政殿後為紫宸殿，天子便殿也,TC-REF-001,0.90
